host_id,latitude,longitude,room_type,price,number_of_reviews,review_scores_value,neighbourhood
31303940,42.28261879577949,-71.13306792912681,1,25,0,0.0,18
2572247,42.286240821867416,-71.13437396457161,2,65,36,9.0,18
16701,42.2924378866568,-71.13576525374667,2,65,41,10.0,18
6031442,42.28110618827366,-71.12102117350553,2,75,1,10.0,18
15396970,42.28451220982457,-71.1362580468337,2,79,29,10.0,18
64200298,42.29168980076903,-71.13189277475922,2,75,8,10.0,18
6570877,42.28138962623448,-71.13119041987277,1,1,57,9.0,18
3164508,42.28194609607024,-71.14102161135577,2,75,67,10.0,18
3962517,42.28587763920193,-71.12490955692161,2,58,65,10.0,18
4434391,42.28882028358453,-71.13951010210121,1,229,33,9.0,18
64331842,42.28644819778879,-71.13932538848039,2,6,1,10.0,18
8834105,42.281941832424685,-71.13337190191741,2,57,17,9.0,18
13743098,42.29172341146307,-71.13155602161845,1,93,1,10.0,18
57402911,42.28764103470109,-71.12988286590424,1,15,12,10.0,18
9658771,42.286264736208935,-71.13706513072117,1,145,7,9.0,18
1176995,42.2814520694321,-71.12925004404066,2,6,70,10.0,18
431385,42.27440801253166,-71.12529404441553,2,165,1,10.0,18
13743098,42.29181491557826,-71.1315879343071,2,75,1,10.0,18
34552909,42.2822247558416,-71.11518855890074,2,49,0,0.0,18
34552909,42.28280175042395,-71.11514509094087,2,49,4,10.0,18
13226301,42.27964781834151,-71.1360587290911,2,4,31,10.0,18
74531248,42.29403534422037,-71.13223724631055,1,12,16,10.0,18
1176995,42.28052812623618,-71.13084254103526,2,7,38,9.0,18
23127285,42.27838291101699,-71.12878009724983,1,15,21,10.0,18
28518068,42.27683095063724,-71.12955973831468,1,175,1,10.0,18
4762495,42.290903928902345,-71.13023771355206,2,95,40,10.0,18
4653380,42.29151999170097,-71.13185776978565,2,9,43,9.0,18
47935411,42.28907107085577,-71.12823296377442,2,95,33,10.0,18
8302344,42.292238240224194,-71.13449706289937,2,1,11,9.0,18
8834105,42.28208581195228,-71.1333486774579,2,67,20,10.0,18
16398126,42.284561507299415,-71.11972634316602,2,55,30,9.0,18
37177446,42.27696861949929,-71.11775586431585,1,2,2,10.0,18
28472710,42.28922069154087,-71.13071326524191,1,15,0,0.0,18
34552909,42.28228162657036,-71.11681747458199,2,49,10,10.0,18
8879967,42.27691292292999,-71.12823284429416,2,75,17,10.0,18
333210,42.28967076428995,-71.1372864086912,1,11,55,9.0,18
1229092,42.289603216466745,-71.13336748771152,2,115,0,0.0,18
6570877,42.27917609759368,-71.13277179664853,1,125,24,9.0,18
6570877,42.28214228250037,-71.12904915306451,1,2,82,9.0,18
3164508,42.281748516890026,-71.14031783726143,2,75,20,10.0,18
19223882,42.27563719947966,-71.12480041713683,2,78,21,9.0,18
43132977,42.28759769917666,-71.13448153404433,2,5,10,10.0,18
10021116,42.28997231000651,-71.13614631892551,2,6,143,10.0,18
13226301,42.27896822197632,-71.13671455617597,2,45,2,9.0,18
7723912,42.28290545627205,-71.13267673899496,1,145,26,9.0,18
82861960,42.27636367614069,-71.13643292507432,2,45,5,9.0,18
4762495,42.29110718003285,-71.13133846374735,2,85,29,10.0,18
7506913,42.27571563204639,-71.13013942666514,2,75,9,10.0,18
44625108,42.27493019121742,-71.13062800634724,2,5,14,10.0,18
13226301,42.2802789130541,-71.13586963457317,2,45,8,10.0,18
8491165,42.285560027126245,-71.1239986992945,2,6,117,9.0,18
16343599,42.287025610360985,-71.1335387879796,1,95,53,10.0,18
7723912,42.28606772927463,-71.1323625033481,1,89,3,10.0,18
30349101,42.28389087384849,-71.13140826651365,1,11,0,0.0,18
8582699,42.293924644315325,-71.1354893588797,2,65,0,0.0,18
68001856,42.29061655718749,-71.13273461483398,1,285,2,6.0,18
809859,42.31379196258048,-71.10338741157318,1,14,1,0.0,12
2139546,42.30797481310916,-71.11622135298697,2,7,23,9.0,12
12083797,42.309356585821945,-71.11682730260223,2,95,14,9.0,12
3840038,42.31691221390574,-71.1130254234823,2,55,3,10.0,12
21873698,42.30398455761773,-71.10449360644687,2,8,57,10.0,12
10910804,42.31632875548343,-71.09909641577438,2,12,58,10.0,12
14303759,42.32002252367938,-71.10594049773768,2,65,1,10.0,12
207475,42.31451961008171,-71.10558689277725,2,1,46,10.0,12
32449720,42.321719666668685,-71.10345881692874,2,65,68,10.0,12
4263511,42.31679060385281,-71.1156304290958,2,6,0,0.0,12
5055078,42.31951000434093,-71.10537660326158,2,63,3,9.0,12
9350281,42.31527456792091,-71.11331605532413,2,75,4,9.0,12
24701232,42.315499530265065,-71.11706562488624,2,65,2,9.0,12
7394101,42.31690480739987,-71.10519470648515,2,11,7,9.0,12
19280995,42.31189728557806,-71.10315398376997,2,46,18,8.0,12
5215706,42.31706413362148,-71.10358571999897,2,75,0,0.0,12
2444900,42.30510762836565,-71.10643297141229,2,62,9,10.0,12
6104362,42.315907278454304,-71.11327327945847,2,69,0,0.0,12
8167936,42.31265281789585,-71.0997233961363,2,69,4,10.0,12
16337422,42.31530070763098,-71.09976783089705,2,73,19,10.0,12
